place_id,text,captions,labels,easting,northing
mc01356,Mill Leat,"[""Mill Leat""]",1,305481.6,126001.6
mc01357,Mill Race,"[""Mill Race""]",2,305583.7,364823.3
mc01358,Mill Pond,"[""Mill Pond""]",1,305614.6,302164.4
mc01359,Mill Race,"[""Mill Race""]",1,305634.0,270951.0
mc01360,Mill Pond,"[""Mill Pond""]",1,305650.9,85233.0
mc01361,Mill Pond,"[""Mill Pond""]",1,305686.5,293235.2
mc01362,Mill Race,"[""Mill Race""]",3,305689.8,504985.9
mc01363,Duhonw Mill Race,"[""Duhonw Mill Race""]",1,305774.4,250172.8
mc01364,Mill Race,"[""Mill Race""]",2,305869.9,527217.9
mc01365,Mill Race,"[""Mill Race""]",1,305923.6,293374.5
mc01366,Mill Race,"[""Mill Race""]",1,305950.8,250294.8
mc01367,Mill Race,"[""Mill Race""]",1,306041.5,524751.7
mc01368,Old Mill Pond,"[""Old Mill Pond""]",1,306077.6,317371.7
mc01369,Old Mill Pond,"[""Old Mill Pond""]",1,306103.6,83170.5
mc01370,Mill Stream,"[""Mill Stream""]",1,306111.8,138881.5
mc01371,Mill Pond,"[""Mill Pond""]",1,306267.3,322102.5
mc01372,Mill Stream,"[""Mill Stream""]",1,306290.5,121426.1
mc01373,Mill Leat,"[""Mill Leat""]",1,306305.1,85018.8
mc01374,Mill Race,"[""Mill Race""]",1,306308.0,322257.1
mc01375,Mill Pond,"[""Mill Pond""]",1,306334.4,112211.4
mc01376,Old Mill Leat,"[""Old Mill Leat""]",1,306360.2,83091.7
mc01377,Mill Race,"[""Mill Race""]",1,306433.1,323715.7
mc01378,Mill Race,"[""Mill Race""]",1,306649.0,537140.1
mc01379,Mill Race; mill race,"[""Mill Race"", ""mill race""]",2,306730.0,520423.3
mc01380,Mill Race,"[""Mill Race""]",1,306860.7,143039.9
mc01381,Mill Race,"[""Mill Race""]",2,306947.0,349933.9
mc01382,Mill Race,"[""Mill Race""]",1,307387.5,182845.4
mc01383,Mill Pond,"[""Mill Pond""]",1,307419.8,136721.8
mc01384,Mill Race,"[""Mill Race""]",1,307457.9,523708.5
mc01385,mill leat,"[""mill leat""]",1,307543.5,103417.8
mc01386,Mill Race,"[""Mill Race""]",1,307568.9,357680.4
mc01387,mill leat,"[""mill leat""]",1,307631.5,101690.1
mc01388,Mill Race,"[""Mill Race""]",1,307798.9,325473.3
mc01389,Mill Race,"[""Mill Race""]",1,307806.9,503898.9
mc01390,Mill Race,"[""Mill Race""]",1,307808.9,500133.1
mc01391,Mill Leat,"[""Mill Leat""]",1,307871.5,94608.4
mc01392,Mill Pond,"[""Mill Pond""]",1,307903.4,499983.1
mc01393,Mill Leat,"[""Mill Leat""]",2,307952.4,85229.7
mc01394,mill race,"[""mill race""]",1,308023.4,100031.0
mc01395,Mill Race,"[""Mill Race""]",1,308093.6,350325.3
mc01396,Mill Race,"[""Mill Race""]",1,308153.2,515291.8
mc01397,Mill Pond,"[""Mill Pond""]",1,308212.1,285966.9
mc01398,Mill Stream,"[""Mill Stream""]",1,308260.9,121840.1
mc01399,Mill Pond,"[""Mill Pond""]",1,308273.5,127546.1
mc01400,Mill Race,"[""Mill Race""]",2,308369.2,520489.4
mc01401,Mill Race,"[""Mill Race""]",1,308390.0,362498.1
mc01402,Mill Race,"[""Mill Race""]",1,308500.6,266006.7
mc01403,Mill Race,"[""Mill Race""]",1,308540.3,188581.7
mc01404,Mill Pond,"[""Mill Pond""]",1,308597.0,289711.7
mc01405,Mill Stream,"[""Mill Stream""]",1,308640.0,88562.2
mc01406,Mill Pond,"[""Mill Pond""]",1,308753.9,379085.4
mc01407,Mill Race,"[""Mill Race""]",2,308804.3,225288.9
mc01408,Mill Race,"[""Mill Race""]",1,308882.7,307253.7
mc01409,Mill Race,"[""Mill Race""]",1,308905.8,233351.6
mc01410,Mill Stream,"[""Mill Stream""]",1,308949.2,140378.7
mc01411,Mill Race,"[""Mill Race""]",2,309175.4,297937.5
mc01412,Mill Leat,"[""Mill Leat""]",1,309190.9,92583.7
mc01413,Mill Pond,"[""Mill Pond""]",1,309311.5,124014.6
mc01414,Mill Pond,"[""Mill Pond""]",1,309352.2,247939.5
mc01415,Mill Race,"[""Mill Race""]",1,309415.6,291033.5
mc01416,Mill Stream,"[""Mill Stream""]",1,309465.0,95587.1
mc01417,Mill Race,"[""Mill Race""]",2,309545.5,167491.9
mc01418,Mill Pond,"[""Mill Pond""]",1,309584.8,137429.3
mc01419,Mill Race,"[""Mill Race""]",1,309754.6,538744.8
mc01420,Mill Race,"[""Mill Race""]",1,309835.4,498004.8
mc01421,Mill Pond,"[""Mill Pond""]",1,309871.3,370245.6
